env,variant,step,return,ci
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-PARETO_1,10000000,80.0,6.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,2000000,32.0,2.3
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,4000000,46.7,4.0
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,6000000,56.7,2.8
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,8000000,57.4,3.4
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-EXPONENTIAL,10000000,59.9,3.5
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-UNIFORM,2000000,4.6,1.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-UNIFORM,4000000,6.5,2.1
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-UNIFORM,6000000,6.7,2.2
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-UNIFORM,8000000,7.2,1.9
SpaceInvaders-MinAtar,ABL2-PhiTD-FQm-UNIFORM,10000000,6.1,2.2
