dataset_size,algorithm,metric,Gauss_mean,Cauchy_mean,MoG_mean,Gam_mean,Gauss_ci95,Cauchy_ci95,MoG_ci95,Gam_ci95
300000,qtd,w1,0.2011778576664071,0.46388719401027617,0.40276811521103867,0.2512101130181863,0.020192916843483254,0.02503916855091101,0.018565287278761635,0.018761225154319123
300000,qtd,cramer_l2,0.01010564427768175,0.02362975050551505,0.04633346592789427,0.013776154429677018,0.002195007100007784,0.003095871764279689,0.0042044821273318775,0.003655592544267439
300000,qtd,cf_l2_w,0.009751870615540458,0.022298894552983825,0.0458413505122071,0.01323407321253156,0.002183133220656516,0.003052470435822479,0.004226517381562766,0.00329585873073986
300000,dirac,w1,0.15168074519832628,0.43900653910446674,0.25139488041922203,0.1665249310366787,0.021968718232530604,0.07766599028878372,0.10651279297892731,0.016330686986809638
300000,dirac,cramer_l2,0.0066499069557206456,0.015417506722266388,0.013568889140573592,0.004660474513406105,0.0029470578302106336,0.004986404994786715,0.012776316462808067,0.0011303488060924142
300000,dirac,cf_l2_w,0.00578971616002003,0.012926603147239115,0.012395820892167397,0.0038239984165332488,0.0027164133969990014,0.0044824159233649115,0.01246650854448558,0.0010178463786185846
300000,phi_cat,w1,0.2923884439430706,0.44651886346810654,0.37218746100420796,0.3182438667810092,0.006772418063192705,0.013254702765460633,0.04243168530660262,0.006354656783832935
300000,phi_cat,cramer_l2,0.028889393620673203,0.02446550062197573,0.0364635434638785,0.028554279507042035,0.0014436243704607971,0.001980374204680981,0.0018277648147815957,0.0011140362985891273
300000,phi_cat,cf_l2_w,0.022596257756481813,0.020734521243980918,0.031425953352504477,0.02281444052754607,0.0008939722453247973,0.0017844919949396992,0.0023607115370927823,0.0012121357306236424
300000,phi_qt,w1,0.15093422768732134,0.3711238118654771,0.18922085785313364,0.15745064891778843,0.03197476596918035,0.020094020262877307,0.0179473410071806,0.015048384948346516
300000,phi_qt,cramer_l2,0.006027115392918313,0.009432094254014109,0.007822898975551237,0.003725490406684006,0.0031251941805125567,0.0016764326594843595,0.0013448265907167348,0.0011687786413560619
300000,phi_qt,cf_l2_w,0.0053852383039589835,0.008581992341835492,0.007326026503635415,0.0030983235858353256,0.002971281925595037,0.0017397650925387678,0.0013043860500765274,0.0011237132277036284
400000,ctd,w1,0.28312904036451264,0.45142710993121016,0.35116088404593143,0.31742628258881367,0.0035523869155458564,0.017863085420775165,0.008344784029555187,0.0033600703380938356
400000,ctd,cramer_l2,0.027483175091833494,0.0249066439416184,0.03729340913267155,0.028800870062977102,0.0011459532528340394,0.0021300222635283,0.0014679869744993234,0.0013823314107008617
400000,ctd,cf_l2_w,0.0211512077535041,0.020104162827306864,0.03156846088410677,0.022915630559064797,0.00023446047663894517,0.0013362948136817461,0.0008135668471983268,0.0005470107121324144
400000,qtd,w1,0.20648713068872313,0.40705749434630245,0.38206333863815845,0.2516501663018092,0.009845751270819708,0.02491913935851503,0.03483358428845658,0.01812271565840503
400000,qtd,cramer_l2,0.010297426799290216,0.017308105450973,0.04209819998580062,0.013504694897148613,0.0010542297868991522,0.0032323810967712593,0.009133824236462973,0.0034766888329738586
400000,qtd,cf_l2_w,0.010033854918622857,0.016546310751193883,0.041712306647907295,0.012994240354784099,0.0010481980866119964,0.003168590113784554,0.009124899468199787,0.003136481254236378
400000,dirac,w1,0.13618551121313965,0.45165399743970236,0.23136258649462577,0.1789994446484875,0.006349219119392553,0.07916725219345128,0.04597443854551819,0.02580231587303765
400000,dirac,cramer_l2,0.00508620512475858,0.017023686653650418,0.01095987550461854,0.005498130263966283,0.00044576981983590586,0.005367057759837998,0.0021809927856533446,0.00207428546900372
400000,dirac,cf_l2_w,0.004408809413252282,0.015114601394837815,0.009874297324113355,0.004608419767439415,0.00045954481432938717,0.005308386545014087,0.0019250966797335622,0.0017369106009958951
400000,phi_cat,w1,0.2886799974744382,0.4228821597245612,0.36552322390499137,0.31911753837915624,0.0057484668350818394,0.04099808361642953,0.033282464458771165,0.006053786677943612
400000,phi_cat,cramer_l2,0.028078967820784125,0.022508816636493522,0.03633595535489999,0.028983036323273915,0.0013701810662314967,0.001812278853222099,0.0021220361816617094,0.001523025399622067
400000,phi_cat,cf_l2_w,0.022002131297529034,0.019709292983045596,0.031009942067255897,0.023080909521370235,0.0005032696853597481,0.002417953022896377,0.0017714558189926531,0.0006297916102348664
400000,phi_qt,w1,0.1366988099159356,0.3888732638823903,0.20664285770289897,0.16348328968764964,0.01211015298308069,0.03737111242770802,0.023645890940067936,0.01780808054107494
400000,phi_qt,cramer_l2,0.004599794905821944,0.010705038498380209,0.008992968057052995,0.0044906337599322915,0.0009809745100850802,0.0010234617966149936,0.002419573361967645,0.001510829220705538
400000,phi_qt,cf_l2_w,0.004063913094826299,0.009750172033922451,0.008469485176772604,0.003995722412239785,0.001019928527182946,0.001622674272941205,0.0023588831665802557,0.0015534779345999635
500000,ctd,w1,0.28283676975236266,0.406949167996398,0.34971873885168664,0.3142295334566486,0.00370239657201216,0.005200239556543327,0.0156815282330617,0.0033392795955591924
500000,ctd,cramer_l2,0.027144456875162464,0.02145561314830296,0.03721047772241569,0.02817167554023863,0.0009993448251722288,0.0005737453861202445,0.0016817291929073536,0.0011597369755754993
500000,ctd,cf_l2_w,0.021075554854984312,0.01707495021767226,0.03090876707935351,0.022234003285959633,0.0001669932069074651,0.0005815126958717636,0.0009551360007717303,0.00041395387873640764
500000,qtd,w1,0.2001804563250696,0.3983052555865573,0.36503324552499833,0.24740672160501584,0.011029446330585975,0.02283168813236453,0.04167130915728817,0.02026627627702159
500000,qtd,cramer_l2,0.009577540195544593,0.016968380693093192,0.03881066954875782,0.013643730334666388,0.0011464631060550635,0.0031695404933219495,0.009654660844853618,0.003528774257623152
500000,qtd,cf_l2_w,0.009253431257945526,0.01652466543819956,0.03850007384963898,0.01307301764452461,0.001190901030316457,0.0032470130434150675,0.009626452818853541,0.0032020081210960283
500000,dirac,w1,0.1324316645637853,0.43173116807111833,0.22952735933848153,0.15531284618223754,0.015231891885230199,0.05135738969213203,0.04640340361921567,0.0069776911524309935
500000,dirac,cramer_l2,0.004635103684103528,0.013921566816991937,0.010263033669461812,0.0037659970652369366,0.0012779499363995673,0.004798688191862147,0.0013503065465157965,0.000377489432181335
500000,dirac,cf_l2_w,0.0039323182630914225,0.011650723065912397,0.009165494491497384,0.0030500832333095946,0.00127202454741206,0.004932771332279856,0.0009581962612848928,0.00040496054042182925
500000,phi_cat,w1,0.2885957551760932,0.4218306268365061,0.3470672403900535,0.31717105795181777,0.006335202753354558,0.04778409948441866,0.03892804188340824,0.0023611266054587247
500000,phi_cat,cramer_l2,0.028293310283085654,0.022430697829044742,0.035295842289797666,0.028103692846373048,0.0018762346430304985,0.0034257161401444317,0.0008907347226673832,0.0006287311439278099
500000,phi_cat,cf_l2_w,0.022102511174914567,0.01836757808415903,0.02994567592594341,0.02257455307370572,0.0014704286433737277,0.002137448218619663,0.0013711361653640846,0.0007206921256118536
500000,phi_qt,w1,0.14383464708614438,0.38332449610037217,0.18942627564753853,0.1674921506244152,0.017854928081722378,0.045780166509129305,0.013114065841777938,0.02498732697692686
500000,phi_qt,cramer_l2,0.0052540800397197236,0.010217219477251804,0.008621396655599984,0.004322351896508314,0.00150435137074733,0.0027488720145260703,0.0005604564452521725,0.0015741884020633542
500000,phi_qt,cf_l2_w,0.004624839121711325,0.009351661838300227,0.008133780743524676,0.003509317916508002,0.0013877293042218032,0.002905793437830478,0.0005600542434112939,0.0012589556078706002
